basemesh,gender,race,dst_type,dst_filename,dst_filepath,ref_filepath,METRO,DAME,FMPD,MSDM,MSDM2,RMS
BFA02,Female,Asian,Noise_f0.01,BFA02-Noise_f0.01_a08.3330.obj,stimuli\BFA02\BFA02-Noise_f0.01_a08.3330.obj,stimuli\BFA02\BFA02-ref.obj,0.006288,0.009067868,0.00246346,0.201313,0.299273,0.9000635
BFA02,Female,Asian,Noise_f0.01,BFA02-Noise_f0.01_a11.6665.obj,stimuli\BFA02\BFA02-Noise_f0.01_a11.6665.obj,stimuli\BFA02\BFA02-ref.obj,0.008785,0.012720682,0.005229321,0.270582,0.356532,1.254149
BFA02,Female,Asian,Noise_f0.01,BFA02-Noise_f0.01_a15.0000.obj,stimuli\BFA02\BFA02-Noise_f0.01_a15.0000.obj,stimuli\BFA02\BFA02-ref.obj,0.011271,0.016395988,0.008874013,0.326949,0.397163,1.6036885
BFA02,Female,Asian,Noise_f0.06,BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,0,0,0,0,0,0.0
BFA02,Female,Asian,Noise_f0.06,BFA02-Noise_f0.06_a00.2100.obj,stimuli\BFA02\BFA02-Noise_f0.06_a00.2100.obj,stimuli\BFA02\BFA02-ref.obj,0.000211,0.005015438,0.00662977,0.078542,0.0877792,0.023717000000000002
BFA02,Female,Asian,Noise_f0.06,BFA02-Noise_f0.06_a00.3500.obj,stimuli\BFA02\BFA02-Noise_f0.06_a00.3500.obj,stimuli\BFA02\BFA02-ref.obj,0.000351,0.008358952,0.018151403,0.096601,0.138997,0.039524500000000004
BFA02,Female,Asian,Noise_f0.06,BFA02-Noise_f0.06_a00.4900.obj,stimuli\BFA02\BFA02-Noise_f0.06_a00.4900.obj,stimuli\BFA02\BFA02-ref.obj,0.000492,0.01170329,0.031077692,0.116533,0.180787,0.0553285
BFA02,Female,Asian,Noise_f0.06,BFA02-Noise_f0.06_a00.6300.obj,stimuli\BFA02\BFA02-Noise_f0.06_a00.6300.obj,stimuli\BFA02\BFA02-ref.obj,0.000633,0.015048151,0.043752123,0.136014,0.215497,0.071132
BFA02,Female,Asian,Noise_f0.34,BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,0,0,0,0,0,0.0
BFA02,Female,Asian,Noise_f0.34,BFA02-Noise_f0.34_a00.0675.obj,stimuli\BFA02\BFA02-Noise_f0.34_a00.0675.obj,stimuli\BFA02\BFA02-ref.obj,7.50E-05,0.00870164,0.022688467,0.089866,0.166349,0.006462000000000001
BFA02,Female,Asian,Noise_f0.34,BFA02-Noise_f0.34_a00.1125.obj,stimuli\BFA02\BFA02-Noise_f0.34_a00.1125.obj,stimuli\BFA02\BFA02-ref.obj,0.000125,0.014503082,0.052250916,0.113581,0.252176,0.0107635
BFA02,Female,Asian,Noise_f0.34,BFA02-Noise_f0.34_a00.1575.obj,stimuli\BFA02\BFA02-Noise_f0.34_a00.1575.obj,stimuli\BFA02\BFA02-ref.obj,0.000175,0.02030669,0.081306361,0.135829,0.320358,0.015063
BFA02,Female,Asian,Noise_f0.34,BFA02-Noise_f0.34_a00.2025.obj,stimuli\BFA02\BFA02-Noise_f0.34_a00.2025.obj,stimuli\BFA02\BFA02-ref.obj,0.000224,0.026112067,0.109378652,0.157491,0.375951,0.0193585
BFA02,Female,Asian,Noise_f2.00,BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,0,0,0,0,0,0.0
BFA02,Female,Asian,Noise_f2.00,BFA02-Noise_f2.00_a00.0740.obj,stimuli\BFA02\BFA02-Noise_f2.00_a00.0740.obj,stimuli\BFA02\BFA02-ref.obj,8.00E-05,0.014350109,0.05555413,0.127075,0.297933,0.0064155
BFA02,Female,Asian,Noise_f2.00,BFA02-Noise_f2.00_a00.1233.obj,stimuli\BFA02\BFA02-Noise_f2.00_a00.1233.obj,stimuli\BFA02\BFA02-ref.obj,0.000133,0.023924596,0.10170415,0.153699,0.414548,0.0106745
BFA02,Female,Asian,Noise_f2.00,BFA02-Noise_f2.00_a00.1727.obj,stimuli\BFA02\BFA02-Noise_f2.00_a00.1727.obj,stimuli\BFA02\BFA02-ref.obj,0.000187,0.033513407,0.145516681,0.178393,0.493261,0.014919
BFA02,Female,Asian,Noise_f2.00,BFA02-Noise_f2.00_a00.2220.obj,stimuli\BFA02\BFA02-Noise_f2.00_a00.2220.obj,stimuli\BFA02\BFA02-ref.obj,0.00024,0.043120733,0.187684457,0.203046,0.550978,0.0191505
BFA02,Female,Asian,Simp,BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,0,-1,0,-1,0,0.0
BFA02,Female,Asian,Simp,BFA02-Simp_p25.00.obj,stimuli\BFA02\BFA02-Simp_p25.00.obj,stimuli\BFA02\BFA02-ref.obj,0.000389,-1,0.050295419,-1,0.277533,0.007612000000000001
BFA02,Female,Asian,Simp,BFA02-Simp_p12.50.obj,stimuli\BFA02\BFA02-Simp_p12.50.obj,stimuli\BFA02\BFA02-ref.obj,0.000638,-1,0.134510801,-1,0.389234,0.017868500000000002
BFA02,Female,Asian,Simp,BFA02-Simp_p06.25.obj,stimuli\BFA02\BFA02-Simp_p06.25.obj,stimuli\BFA02\BFA02-ref.obj,0.001186,-1,0.280886654,-1,0.461635,0.037389
BFA02,Female,Asian,Simp,BFA02-Simp_p03.12.obj,stimuli\BFA02\BFA02-Simp_p03.12.obj,stimuli\BFA02\BFA02-ref.obj,0.001683,-1,0.472079802,-1,0.516693,0.075475
BFA02,Female,Asian,Smooth,BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,0,0,0,0,0,0.0
BFA02,Female,Asian,Smooth,BFA02-Smooth_i02.obj,stimuli\BFA02\BFA02-Smooth_i02.obj,stimuli\BFA02\BFA02-ref.obj,0.001846,0.002978069,0.004113438,0.109017,0.06688,0.1156975
BFA02,Female,Asian,Smooth,BFA02-Smooth_i06.obj,stimuli\BFA02\BFA02-Smooth_i06.obj,stimuli\BFA02\BFA02-ref.obj,0.004422,0.00582434,0.005040376,0.138151,0.118447,0.338456
BFA02,Female,Asian,Smooth,BFA02-Smooth_i12.obj,stimuli\BFA02\BFA02-Smooth_i12.obj,stimuli\BFA02\BFA02-ref.obj,0.007758,0.008466132,0.005518335,0.16465,0.166102,0.6565885
BFA02,Female,Asian,Smooth,BFA02-Smooth_i20.obj,stimuli\BFA02\BFA02-Smooth_i20.obj,stimuli\BFA02\BFA02-ref.obj,0.011636,0.010694408,0.005682044,0.193898,0.208892,1.0582984999999998
BFA03,Female,Asian,Noise_f0.01,BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,0,0,0,0,0,0.0
BFA03,Female,Asian,Noise_f0.01,BFA03-Noise_f0.01_a05.0000.obj,stimuli\BFA03\BFA03-Noise_f0.01_a05.0000.obj,stimuli\BFA03\BFA03-ref.obj,0.003707,0.005319618,0.000688493,0.125314,0.179766,0.5576305
BFA03,Female,Asian,Noise_f0.01,BFA03-Noise_f0.01_a08.3330.obj,stimuli\BFA03\BFA03-Noise_f0.01_a08.3330.obj,stimuli\BFA03\BFA03-ref.obj,0.006164,0.00887954,0.002152141,0.186677,0.27119,0.926178
BFA03,Female,Asian,Noise_f0.01,BFA03-Noise_f0.01_a11.6665.obj,stimuli\BFA03\BFA03-Noise_f0.01_a11.6665.obj,stimuli\BFA03\BFA03-ref.obj,0.008609,0.012456929,0.004537748,0.251098,0.339486,1.290696
BFA03,Female,Asian,Noise_f0.01,BFA03-Noise_f0.01_a15.0000.obj,stimuli\BFA03\BFA03-Noise_f0.01_a15.0000.obj,stimuli\BFA03\BFA03-ref.obj,0.01104,0.016056213,0.007496457,0.306998,0.388591,1.6501169999999998
BFA03,Female,Asian,Noise_f0.06,BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,0,0,0,0,0,0.0
BFA03,Female,Asian,Noise_f0.06,BFA03-Noise_f0.06_a00.2100.obj,stimuli\BFA03\BFA03-Noise_f0.06_a00.2100.obj,stimuli\BFA03\BFA03-ref.obj,0.000212,0.004977845,0.006790292,0.077557,0.0888111,0.0239245
BFA03,Female,Asian,Noise_f0.06,BFA03-Noise_f0.06_a00.3500.obj,stimuli\BFA03\BFA03-Noise_f0.06_a00.3500.obj,stimuli\BFA03\BFA03-ref.obj,0.000353,0.008295906,0.017511107,0.098286,0.141068,0.039869
BFA03,Female,Asian,Noise_f0.06,BFA03-Noise_f0.06_a00.4900.obj,stimuli\BFA03\BFA03-Noise_f0.06_a00.4900.obj,stimuli\BFA03\BFA03-ref.obj,0.000494,0.0116145,0.029624886,0.118716,0.183409,0.055811
BFA03,Female,Asian,Noise_f0.06,BFA03-Noise_f0.06_a00.6300.obj,stimuli\BFA03\BFA03-Noise_f0.06_a00.6300.obj,stimuli\BFA03\BFA03-ref.obj,0.000636,0.01493337,0.041920041,0.13866,0.218401,0.0717515
BFA03,Female,Asian,Noise_f0.34,BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,0,0,0,0,0,0.0
BFA03,Female,Asian,Noise_f0.34,BFA03-Noise_f0.34_a00.0675.obj,stimuli\BFA03\BFA03-Noise_f0.34_a00.0675.obj,stimuli\BFA03\BFA03-ref.obj,7.50E-05,0.008725991,0.023027544,0.090698,0.167912,0.006508
BFA03,Female,Asian,Noise_f0.34,BFA03-Noise_f0.34_a00.1125.obj,stimuli\BFA03\BFA03-Noise_f0.34_a00.1125.obj,stimuli\BFA03\BFA03-ref.obj,0.000125,0.014543014,0.052195749,0.113357,0.252638,0.010841
BFA03,Female,Asian,Noise_f0.34,BFA03-Noise_f0.34_a00.1575.obj,stimuli\BFA03\BFA03-Noise_f0.34_a00.1575.obj,stimuli\BFA03\BFA03-ref.obj,0.000175,0.020361723,0.080432142,0.136102,0.319929,0.015169499999999999
BFA03,Female,Asian,Noise_f0.34,BFA03-Noise_f0.34_a00.2025.obj,stimuli\BFA03\BFA03-Noise_f0.34_a00.2025.obj,stimuli\BFA03\BFA03-ref.obj,0.000225,0.02618169,0.108030159,0.15732,0.374878,0.019493999999999997
BFA03,Female,Asian,Noise_f2.00,BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,0,0,0,0,0,0.0
BFA03,Female,Asian,Noise_f2.00,BFA03-Noise_f2.00_a00.0740.obj,stimuli\BFA03\BFA03-Noise_f2.00_a00.0740.obj,stimuli\BFA03\BFA03-ref.obj,8.10E-05,0.014224456,0.053213297,0.126457,0.290559,0.0064010000000000004
BFA03,Female,Asian,Noise_f2.00,BFA03-Noise_f2.00_a00.1233.obj,stimuli\BFA03\BFA03-Noise_f2.00_a00.1233.obj,stimuli\BFA03\BFA03-ref.obj,0.000135,0.023714108,0.097541439,0.152235,0.40776,0.010651
BFA03,Female,Asian,Noise_f2.00,BFA03-Noise_f2.00_a00.1727.obj,stimuli\BFA03\BFA03-Noise_f2.00_a00.1727.obj,stimuli\BFA03\BFA03-ref.obj,0.000189,0.033217285,0.140284001,0.178368,0.488035,0.0148855
BFA03,Female,Asian,Noise_f2.00,BFA03-Noise_f2.00_a00.2220.obj,stimuli\BFA03\BFA03-Noise_f2.00_a00.2220.obj,stimuli\BFA03\BFA03-ref.obj,0.000244,0.042738332,0.181878607,0.202829,0.546787,0.0191065
BFA03,Female,Asian,Simp,BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,0,-1,0,-1,0,0.0
BFA03,Female,Asian,Simp,BFA03-Simp_p25.00.obj,stimuli\BFA03\BFA03-Simp_p25.00.obj,stimuli\BFA03\BFA03-ref.obj,0.00022,-1,0.04904429,-1,0.273358,0.007365
BFA03,Female,Asian,Simp,BFA03-Simp_p12.50.obj,stimuli\BFA03\BFA03-Simp_p12.50.obj,stimuli\BFA03\BFA03-ref.obj,0.000407,-1,0.130237923,-1,0.383812,0.0172965
BFA03,Female,Asian,Simp,BFA03-Simp_p06.25.obj,stimuli\BFA03\BFA03-Simp_p06.25.obj,stimuli\BFA03\BFA03-ref.obj,0.001155,-1,0.273445652,-1,0.460665,0.035679
BFA03,Female,Asian,Simp,BFA03-Simp_p03.12.obj,stimuli\BFA03\BFA03-Simp_p03.12.obj,stimuli\BFA03\BFA03-ref.obj,0.001711,-1,0.462449355,-1,0.517954,0.071404
BFA03,Female,Asian,Smooth,BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,stimuli\BFA03\BFA03-ref.obj,0,0,0,0,0,0.0
BFA03,Female,Asian,Smooth,BFA03-Smooth_i02.obj,stimuli\BFA03\BFA03-Smooth_i02.obj,stimuli\BFA03\BFA03-ref.obj,0.001895,0.002799874,0.003931677,0.110726,0.0655988,0.111451
BFA03,Female,Asian,Smooth,BFA03-Smooth_i06.obj,stimuli\BFA03\BFA03-Smooth_i06.obj,stimuli\BFA03\BFA03-ref.obj,0.004541,0.005456565,0.004598512,0.138117,0.114365,0.3261575
BFA03,Female,Asian,Smooth,BFA03-Smooth_i12.obj,stimuli\BFA03\BFA03-Smooth_i12.obj,stimuli\BFA03\BFA03-ref.obj,0.007967,0.007966475,0.004914289,0.163458,0.159688,0.6326455
BFA03,Female,Asian,Smooth,BFA03-Smooth_i20.obj,stimuli\BFA03\BFA03-Smooth_i20.obj,stimuli\BFA03\BFA03-ref.obj,0.011948,0.010122691,0.005052437,0.192644,0.202631,1.019314
BFB01,Female,Black/AfricanAmerican,Noise_f0.01,BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,0,0,0,0,0,0.0
BFB01,Female,Black/AfricanAmerican,Noise_f0.01,BFB01-Noise_f0.01_a05.0000.obj,stimuli\BFB01\BFB01-Noise_f0.01_a05.0000.obj,stimuli\BFB01\BFB01-ref.obj,0.003673,0.005637203,0.001131399,0.128241,0.18081,0.53423
BFB01,Female,Black/AfricanAmerican,Noise_f0.01,BFB01-Noise_f0.01_a08.3330.obj,stimuli\BFB01\BFB01-Noise_f0.01_a08.3330.obj,stimuli\BFB01\BFB01-ref.obj,0.006108,0.009404455,0.003330525,0.186616,0.276374,0.8873775
BFB01,Female,Black/AfricanAmerican,Noise_f0.01,BFB01-Noise_f0.01_a11.6665.obj,stimuli\BFB01\BFB01-Noise_f0.01_a11.6665.obj,stimuli\BFB01\BFB01-ref.obj,0.008532,0.013186501,0.006754811,0.249196,0.339732,1.236778
BFB01,Female,Black/AfricanAmerican,Noise_f0.01,BFB01-Noise_f0.01_a15.0000.obj,stimuli\BFB01\BFB01-Noise_f0.01_a15.0000.obj,stimuli\BFB01\BFB01-ref.obj,0.010943,0.01698854,0.011054797,0.30467,0.387716,1.5821239999999999
BFB01,Female,Black/AfricanAmerican,Noise_f0.06,BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,0,0,0,0,0,0.0
BFB01,Female,Black/AfricanAmerican,Noise_f0.06,BFB01-Noise_f0.06_a00.2100.obj,stimuli\BFB01\BFB01-Noise_f0.06_a00.2100.obj,stimuli\BFB01\BFB01-ref.obj,0.000206,0.005126471,0.007698971,0.078507,0.0873736,0.023822999999999997
BFB01,Female,Black/AfricanAmerican,Noise_f0.06,BFB01-Noise_f0.06_a00.3500.obj,stimuli\BFB01\BFB01-Noise_f0.06_a00.3500.obj,stimuli\BFB01\BFB01-ref.obj,0.000344,0.00854441,0.019691763,0.09795,0.139462,0.0397075
BFB01,Female,Black/AfricanAmerican,Noise_f0.06,BFB01-Noise_f0.06_a00.4900.obj,stimuli\BFB01\BFB01-Noise_f0.06_a00.4900.obj,stimuli\BFB01\BFB01-ref.obj,0.000481,0.011963645,0.033028544,0.117644,0.181862,0.055584
BFB01,Female,Black/AfricanAmerican,Noise_f0.06,BFB01-Noise_f0.06_a00.6300.obj,stimuli\BFB01\BFB01-Noise_f0.06_a00.6300.obj,stimuli\BFB01\BFB01-ref.obj,0.000619,0.01538386,0.0463051,0.136998,0.216978,0.0714625
BFB01,Female,Black/AfricanAmerican,Noise_f0.34,BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,0,0,0,0,0,0.0
BFB01,Female,Black/AfricanAmerican,Noise_f0.34,BFB01-Noise_f0.34_a00.0675.obj,stimuli\BFB01\BFB01-Noise_f0.34_a00.0675.obj,stimuli\BFB01\BFB01-ref.obj,6.90E-05,0.008839204,0.02334696,0.092226,0.164065,0.0064735
BFB01,Female,Black/AfricanAmerican,Noise_f0.34,BFB01-Noise_f0.34_a00.1125.obj,stimuli\BFB01\BFB01-Noise_f0.34_a00.1125.obj,stimuli\BFB01\BFB01-ref.obj,0.000115,0.014732173,0.053085788,0.113957,0.248464,0.010783000000000001
BFB01,Female,Black/AfricanAmerican,Noise_f0.34,BFB01-Noise_f0.34_a00.1575.obj,stimuli\BFB01\BFB01-Noise_f0.34_a00.1575.obj,stimuli\BFB01\BFB01-ref.obj,0.000161,0.020627211,0.082238526,0.135244,0.315797,0.015091
BFB01,Female,Black/AfricanAmerican,Noise_f0.34,BFB01-Noise_f0.34_a00.2025.obj,stimuli\BFB01\BFB01-Noise_f0.34_a00.2025.obj,stimuli\BFB01\BFB01-ref.obj,0.000207,0.026523971,0.110475523,0.155982,0.370952,0.019394500000000002
BFB01,Female,Black/AfricanAmerican,Noise_f2.00,BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,0,0,0,0,0,0.0
BFB01,Female,Black/AfricanAmerican,Noise_f2.00,BFB01-Noise_f2.00_a00.0740.obj,stimuli\BFB01\BFB01-Noise_f2.00_a00.0740.obj,stimuli\BFB01\BFB01-ref.obj,8.40E-05,0.014497179,0.0538409,0.125693,0.28404,0.0063635
BFB01,Female,Black/AfricanAmerican,Noise_f2.00,BFB01-Noise_f2.00_a00.1233.obj,stimuli\BFB01\BFB01-Noise_f2.00_a00.1233.obj,stimuli\BFB01\BFB01-ref.obj,0.00014,0.024168889,0.099047249,0.152255,0.400453,0.010589
BFB01,Female,Black/AfricanAmerican,Noise_f2.00,BFB01-Noise_f2.00_a00.1727.obj,stimuli\BFB01\BFB01-Noise_f2.00_a00.1727.obj,stimuli\BFB01\BFB01-ref.obj,0.000196,0.033854111,0.142599857,0.1771,0.480404,0.0148
BFB01,Female,Black/AfricanAmerican,Noise_f2.00,BFB01-Noise_f2.00_a00.2220.obj,stimuli\BFB01\BFB01-Noise_f2.00_a00.2220.obj,stimuli\BFB01\BFB01-ref.obj,0.000252,0.043556684,0.184649015,0.201105,0.539223,0.0189965
BFB01,Female,Black/AfricanAmerican,Simp,BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,stimuli\BFB01\BFB01-ref.obj,0,-1,0,-1,0,0.0
